ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 01] TXT - 001 La IA como Consejera de Compras del Hogar (PDF),Disponible en Sesión 01. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/1.%20TXT-001_La%20IA%20como%20Consejera%20de%20Compras%20del%20Hogar.pdf
,02. [EST] Estilos Visuales de Imagen,[Sesión 01] EST - 001 REALISTA (FOTORREALISMO) - Faro al Amanecer (PDF),Disponible en Sesión 01. Paso 2: Estilos Visuales de Imagen (Aprender a pedir estilos artísticos y fotográficos). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/2.%20EST-001_REALISTA%20%28FOTORREALISMO%29%20-%20Faro%20al%20Amanecer.pdf
,03. [PRAC] Talleres Prácticos con Gemini,"[Sesión 01] PRAC - 001 Retrato Mágico Disfraz de Reyes, Aristócratas o Época Clásica (PDF)",Disponible en Sesión 01. Paso 3: Taller Práctico con Gemini (Transformación y creatividad aplicada). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/3.%20PRAC-001_Retrato%20M%C3%A1gico_%20Disfraz%20de%20Reyes%2C%20Arist%C3%B3cratas%20o%20%C3%89poca%20Cl%C3%A1sica.pdf
,04. [FRAC] Fractales en IA (Vídeos y Fichas),[Sesión 01] FRAC - 000 A Teoria Fractal (PDF),Disponible en Sesión 01. Paso 4: Geometría Fractal en IA (Visualización y asombro en aula). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/4.%20FRAC-000_A_Teoria_Fractal.pdf
,04. [FRAC] Fractales en IA (Vídeos y Fichas),[Sesión 01] FRAC - 000 B Reto Visual (PDF),Disponible en Sesión 01. Paso 4: Geometría Fractal en IA (Visualización y asombro en aula). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/4.%20FRAC-000_B_Reto_Visual.pdf
,04. [FRAC] Fractales en IA (Vídeos y Fichas),[Sesión 01] FRAC - 058 2. TÚ ERES UN FRACTAL (Biomimética) 🫁⚡ (MP4),Disponible en Sesión 01. Paso 4: Geometría Fractal en IA (Visualización y asombro en aula). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/4.%20FRAC-058%202.%20T%C3%9A%20ERES%20UN%20FRACTAL%20%28Biomim%C3%A9tica%29%20%F0%9F%AB%81%E2%9A%A1.mp4
,04. [FRAC] Fractales en IA (Vídeos y Fichas),"[Sesión 01] FRAC - 058 Tú eres un Fractal (Pulmones, Bronquios y Sistema Circulatorio) (PDF)",Disponible en Sesión 01. Paso 4: Geometría Fractal en IA (Visualización y asombro en aula). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/4.%20FRAC-058%20T%C3%BA%20eres%20un%20Fractal%20%28Pulmones%2C%20Bronquios%20y%20Sistema%20Circulatorio%29.pdf
,05. [INT] El Mundo por Dentro y Reconstrucción,[Sesión 01] INT - 001 La Gran Biblioteca de Alejandría reconstruida por dentro (PDF),Disponible en Sesión 01. Paso 5: El Mundo por Dentro y Reconstrucción Histórica (Corte transversal y arquitectura). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/5.%20INT-001_La%20Gran%20Biblioteca%20de%20Alejandr%C3%ADa%20reconstruida%20por%20dentro.pdf
,06. [FUT] Línea de Tiempo del Futuro (2030+),[Sesión 01] FUT - 001 Año 2028 El asistente robótico compasivo en el hogar familiar ma (PDF),Disponible en Sesión 01. Paso 6: Línea de Tiempo del Futuro y Sci-Fi (Tecnología amable y robótica del mañana). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/6.%20FUT-001_A%C3%B1o%202028_%20El%20asistente%20rob%C3%B3tico%20compasivo%20en%20el%20hogar%20familiar%20ma.pdf
,07. [NAT] Naturaleza Fascinante y Biodiversidad,[Sesión 01] NAT - 001 El Caballo Salvaje y su Biomecánica de Galope (Infografía Científ (PDF),"Disponible en Sesión 01. Paso 7: Biodiversidad y Naturaleza Fascinante (Fauna, flora e infografías científicas). Acceso directo al recurso interactivo.",https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/7.%20NAT-001_El%20Caballo%20Salvaje%20y%20su%20Biomec%C3%A1nica%20de%20Galope%20%28Infograf%C3%ADa%20Cient%C3%ADf.pdf
