ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 01] TXT - 001 La IA como Consejera de Compras del Hogar (PDF),Disponible en Sesión 01. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/01_Sesion/1.%20TXT-001_La%20IA%20como%20Consejera%20de%20Compras%20del%20Hogar.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 02] TXT - 002 La misma escena descrita en tres tonos o versiones (PDF),Disponible en Sesión 02. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/02_Sesion/1.%20TXT-002_La%20misma%20escena%20descrita%20en%20tres%20tonos%20o%20versiones.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 03] TXT - 003 Pregúntale a la IA lo que siempre quisiste saber (Curiosidad sin (PDF),Disponible en Sesión 03. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/03_Sesion/1.%20TXT-003_Preg%C3%BAntale%20a%20la%20IA%20lo%20que%20siempre%20quisiste%20saber%20%28Curiosidad%20sin%20.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 04] TXT - 004 Una postal o mensaje emotivo para un nieto o familiar (PDF),Disponible en Sesión 04. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/04_Sesion/1.%20TXT-004_Una%20postal%20o%20mensaje%20emotivo%20para%20un%20nieto%20o%20familiar.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 05] TXT - 005 Asistente Mecánico Visual Testigos Luminosos del Coche (PDF),Disponible en Sesión 05. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/05_Sesion/1.%20TXT-005_Asistente%20Mec%C3%A1nico%20Visual_%20Testigos%20Luminosos%20del%20Coche.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 06] TXT - 006 Carta formal de reclamación a una compañía o servicio (PDF),Disponible en Sesión 06. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/06_Sesion/1.%20TXT-006_Carta%20formal%20de%20reclamaci%C3%B3n%20a%20una%20compa%C3%B1%C3%ADa%20o%20servicio.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 07] TXT - 007 Explícamelo como si tuviera 10 años (Nivelación de complejidad) (PDF),Disponible en Sesión 07. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/07_Sesion/1.%20TXT-007_Expl%C3%ADcamelo%20como%20si%20tuviera%2010%20a%C3%B1os%20%28Nivelaci%C3%B3n%20de%20complejidad%29.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 08] TXT - 008 Planificador de Viajes y Rutas (Prompts Encadenados con @Google M (PDF),Disponible en Sesión 08. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/08_Sesion/1.%20TXT-008_Planificador%20de%20Viajes%20y%20Rutas%20%28Prompts%20Encadenados%20con%20%40Google%20M.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 09] TXT - 009 Pilla a la IA en un error o exageración (Pensamiento Crítico) (PDF),Disponible en Sesión 09. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/09_Sesion/1.%20TXT-009_Pilla%20a%20la%20IA%20en%20un%20error%20o%20exageraci%C3%B3n%20%28Pensamiento%20Cr%C3%ADtico%29.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 10] TXT - 010 Debate Ético ¿De quién es la propiedad intelectual de una imagen (PDF),Disponible en Sesión 10. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/10_Sesion/1.%20TXT-010_Debate%20%C3%89tico_%20%C2%BFDe%20qui%C3%A9n%20es%20la%20propiedad%20intelectual%20de%20una%20imagen.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 11] TXT - 011 El Traductor de Informes Médicos y Análisis de Sangre (PDF),Disponible en Sesión 11. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/11_Sesion/1.%20TXT-011_El%20Traductor%20de%20Informes%20M%C3%A9dicos%20y%20An%C3%A1lisis%20de%20Sangre.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 12] TXT - 012 Guía Paso a Paso para Trámites en el Ayuntamiento o Centro de Sal (PDF),Disponible en Sesión 12. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/12_Sesion/1.%20TXT-012_Gu%C3%ADa%20Paso%20a%20Paso%20para%20Tr%C3%A1mites%20en%20el%20Ayuntamiento%20o%20Centro%20de%20Sal.pdf
,01. [TXT] Prompts de Comunicación y Texto,[Sesión 13] TXT - 013 Redacción de Mensajes de WhatsApp y Correos para la Comunidad de (PDF),Disponible en Sesión 13. Paso 1: Prompts de Comunicación y Texto (El poder de la palabra en la IA). Acceso directo al recurso interactivo.,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/13_Sesion/1.%20TXT-013_Redacci%C3%B3n%20de%20Mensajes%20de%20WhatsApp%20y%20Correos%20para%20la%20Comunidad%20de%20.pdf
