ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,Sesión 46,"TXT - 046 Asesor Práctico de Infusiones, Té y Remedios Tradicionales Suaves (PDF)",Paso 1: Comunicación y Lógica con la IA (Prompt de texto para conversar o resolver dudas).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/1.%20TXT-046_Asesor%20Pr%C3%A1ctico%20de%20Infusiones%2C%20T%C3%A9%20y%20Remedios%20Tradicionales%20Suaves.pdf
,Sesión 46,EST - 046 CINEMATOGRÁFICO NOIR ÉPICO Y GRANDES BATALLAS - Barco Pirata Ép (PDF),Paso 2: Estilos Visuales de Imagen (Aprender a pedir estilos artísticos y fotográficos).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/2.%20EST-046_CINEMATOGR%C3%81FICO%20NOIR%20_%20%C3%89PICO%20Y%20GRANDES%20BATALLAS%20-%20Barco%20Pirata%20%C3%89p.pdf
,Sesión 46,PRAC - 046 Restauración y Coloreado de Carteles de Fiestas y Ferias Vintage (PDF),Paso 3: Taller Práctico con Gemini (Transformación y creatividad aplicada).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/3.%20PRAC-046_Restauraci%C3%B3n%20y%20Coloreado%20de%20Carteles%20de%20Fiestas%20y%20Ferias%20Vintage.pdf
,Sesión 46,FRAC - 041 Aizawa Neon Growth v1 (PDF),Paso 4: Ficha del Fractal del Día (Geometría visual explicada para mayores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/4.%20FRAC-041%20Aizawa_Neon_Growth_v1.pdf
,Sesión 46,FRAC - 041 Aizawa SuperBright v1 (MP4),Paso 4: Vídeo Fractal del Día en Alta Resolución (Visualización y asombro en aula).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/4.%20FRAC-041%20Aizawa_SuperBright_v1.mp4
,Sesión 46,INT - 046 El Templo Mayor de Angkor Wat en Camboya por dentro fosos y sant (PDF),Paso 5: El Mundo por Dentro y Reconstrucción Histórica (Corte transversal y arquitectura).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/5.%20INT-046_El%20Templo%20Mayor%20de%20Angkor%20Wat%20en%20Camboya%20por%20dentro_%20fosos%20y%20sant.pdf
,Sesión 46,NAT - 046 Termodinámica y Mineralogía de la Erupción Volcánica con Ríos de (PDF),Paso 7: Naturaleza en Acción y Biodiversidad (Infografía científica de fauna y flora).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/7.%20NAT-046_Termodin%C3%A1mica%20y%20Mineralog%C3%ADa%20de%20la%20Erupci%C3%B3n%20Volc%C3%A1nica%20con%20R%C3%ADos%20de%20.pdf
,Sesión 46,ARTE - 046 El Grito de Edvard Munch (1893) (PDF),Paso 8: Obras Maestras de la Historia del Arte (Los grandes genios de la pintura universal).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/8.%20ARTE-046_El%20Grito%20de%20Edvard%20Munch%20%281893%29.pdf
,Sesión 46,NIV - 046 Los 5 Niveles de la Robótica y Autonomía Mecánica (PDF),Paso 9: Escalafones y Niveles (Cultura 101: clasificaciones del mundo).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/9.%20NIV-046_Los%205%20Niveles%20de%20la%20Rob%C3%B3tica%20y%20Autonom%C3%ADa%20Mec%C3%A1nica.pdf
,Sesión 46,TRUC - 046 Tecnología Organizar los cables de viaje (PDF),Paso 10: Trucos Caseros y del Hogar (Soluciones prácticas con ingredientes domésticos).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/10.%20TRUC-046_Tecnolog%C3%ADa_%20Organizar%20los%20cables%20de%20viaje.pdf
,Sesión 46,CUENT - 046 Paso 0 Introduccion Proyecto (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/11.CUENT-046_Paso_0_Introduccion_Proyecto.pdf
,Sesión 46,CUENT - 046 Paso 1 Exploradores del Espacio El reloj que podía viajar al futuro (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/11.CUENT-046_Paso_1_Exploradores%20del%20Espacio_%20El%20reloj%20que%20pod%C3%ADa%20viajar%20al%20futuro.pdf
,Sesión 46,CUENT - 046 Paso 2 Exploradores del Espacio El reloj que podía viajar al futuro (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/11.CUENT-046_Paso_2_Exploradores%20del%20Espacio_%20El%20reloj%20que%20pod%C3%ADa%20viajar%20al%20futuro.pdf
,Sesión 46,CUENT - 046 Paso 3 Exploradores del Espacio El reloj que podía viajar al futuro (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/11.CUENT-046_Paso_3_Exploradores%20del%20Espacio_%20El%20reloj%20que%20pod%C3%ADa%20viajar%20al%20futuro.pdf
,Sesión 46,[MOVIL - 046] Llave de Paso General del Agua Abierta vs cerrada (PDF),Paso 12: El Salvavidas del Móvil (Generar reto en PC y consultar por voz con la app de Gemini).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/12.%20%5BMOVIL-046%5D_Llave%20de%20Paso%20General%20del%20Agua_%20Abierta%20vs%20cerrada.pdf
,Sesión 46,[MEM - 046] El Primer Viaje en Autobús de Línea o en Metro (PDF),"Paso 13: Cápsula de la Memoria: Mi Infancia, Mi Barrio o Mi Pueblo (Recuerdos y anécdotas para los nietos).",https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/46_Sesion/13.%20%5BMEM-046%5D_El%20Primer%20Viaje%20en%20Autob%C3%BAs%20de%20L%C3%ADnea%20o%20en%20Metro.pdf
,Sesión 47,TXT - 047 Redactor de Invitaciones Elegantes para Celebraciones en Casa (PDF),Paso 1: Comunicación y Lógica con la IA (Prompt de texto para conversar o resolver dudas).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/1.%20TXT-047_Redactor%20de%20Invitaciones%20Elegantes%20para%20Celebraciones%20en%20Casa.pdf
,Sesión 47,EST - 047 CINEMATOGRÁFICO NOIR ÉPICO Y GRANDES BATALLAS - Moby Dick en To (PDF),Paso 2: Estilos Visuales de Imagen (Aprender a pedir estilos artísticos y fotográficos).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/2.%20EST-047_CINEMATOGR%C3%81FICO%20NOIR%20_%20%C3%89PICO%20Y%20GRANDES%20BATALLAS%20-%20Moby%20Dick%20en%20To.pdf
,Sesión 47,PRAC - 047 Creación de Tableros y Juegos de Mesa Personalizados (PDF),Paso 3: Taller Práctico con Gemini (Transformación y creatividad aplicada).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/3.%20PRAC-047_Creaci%C3%B3n%20de%20Tableros%20y%20Juegos%20de%20Mesa%20Personalizados.pdf
,Sesión 47,FUNC - 026 107. sec(x)+csc(x) (MP4),Paso 4: Vídeo Fractal del Día en Alta Resolución (Visualización y asombro en aula).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/4.%20FUNC-026%20107.%20sec%28x%29%2Bcsc%28x%29.mp4
,Sesión 47,FUNC - 026 FUNCION 0107 (PDF),Paso 4: Ficha del Fractal del Día (Geometría visual explicada para mayores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/4.%20FUNC-026%20FUNCION_0107.pdf
,Sesión 47,INT - 047 Reconstrucción del palacio omeya de Medina Azahara (Córdoba) en s (PDF),Paso 5: El Mundo por Dentro y Reconstrucción Histórica (Corte transversal y arquitectura).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/5.%20INT-047_Reconstrucci%C3%B3n%20del%20palacio%20omeya%20de%20Medina%20Azahara%20%28C%C3%B3rdoba%29%20en%20s.pdf
,Sesión 47,NAT - 047 Hidrología y Biomecánica del Árbol Baobab Sagrado (Infografía Cie (PDF),Paso 7: Naturaleza en Acción y Biodiversidad (Infografía científica de fauna y flora).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/7.%20NAT-047_Hidrolog%C3%ADa%20y%20Biomec%C3%A1nica%20del%20%C3%81rbol%20Baobab%20Sagrado%20%28Infograf%C3%ADa%20Cie.pdf
,Sesión 47,ARTE - 047 El Beso de Gustav Klimt (1908) (PDF),Paso 8: Obras Maestras de la Historia del Arte (Los grandes genios de la pintura universal).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/8.%20ARTE-047_El%20Beso%20de%20Gustav%20Klimt%20%281908%29.pdf
,Sesión 47,NIV - 047 Los 6 Niveles de Inmersión Virtual y Realidad Extendida (XR) (PDF),Paso 9: Escalafones y Niveles (Cultura 101: clasificaciones del mundo).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/9.%20NIV-047_Los%206%20Niveles%20de%20Inmersi%C3%B3n%20Virtual%20y%20Realidad%20Extendida%20%28XR%29.pdf
,Sesión 47,TRUC - 047 Ropa Devolver el blanco a los calcetines (PDF),Paso 10: Trucos Caseros y del Hogar (Soluciones prácticas con ingredientes domésticos).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/10.%20TRUC-047_Ropa_%20Devolver%20el%20blanco%20a%20los%20calcetines.pdf
,Sesión 47,CUENT - 047 Paso 0 Introduccion Proyecto (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/11.CUENT-047_Paso_0_Introduccion_Proyecto.pdf
,Sesión 47,CUENT - 047 Paso 1 Cuentos Personalizados La abuela cuenta cómo era la vida sin int (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/11.CUENT-047_Paso_1_Cuentos%20Personalizados_%20La%20abuela%20cuenta%20c%C3%B3mo%20era%20la%20vida%20sin%20int.pdf
,Sesión 47,CUENT - 047 Paso 2 Cuentos Personalizados La abuela cuenta cómo era la vida sin int (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/11.CUENT-047_Paso_2_Cuentos%20Personalizados_%20La%20abuela%20cuenta%20c%C3%B3mo%20era%20la%20vida%20sin%20int.pdf
,Sesión 47,CUENT - 047 Paso 3 Cuentos Personalizados La abuela cuenta cómo era la vida sin int (PDF),Paso 11: Cuentos Ilustrados para Nietos (Historias personalizadas con valores).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/11.CUENT-047_Paso_3_Cuentos%20Personalizados_%20La%20abuela%20cuenta%20c%C3%B3mo%20era%20la%20vida%20sin%20int.pdf
,Sesión 47,[MOVIL - 047] Grifo con Manchas de Cal Grifería cromada opaca (PDF),Paso 12: El Salvavidas del Móvil (Generar reto en PC y consultar por voz con la app de Gemini).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/12.%20%5BMOVIL-047%5D_Grifo%20con%20Manchas%20de%20Cal_%20Grifer%C3%ADa%20cromada%20opaca.pdf
,Sesión 47,[MEM - 047] El Huerto Familiar o las Plantas de la Terraza y Balcón (PDF),"Paso 13: Cápsula de la Memoria: Mi Infancia, Mi Barrio o Mi Pueblo (Recuerdos y anécdotas para los nietos).",https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/47_Sesion/13.%20%5BMEM-047%5D_El%20Huerto%20Familiar%20o%20las%20Plantas%20de%20la%20Terraza%20y%20Balc%C3%B3n.pdf
,Sesión 48,"TXT - 048 Traductor de Prospectos de Vitaminas, Minerales y Suplementos (PDF)",Paso 1: Comunicación y Lógica con la IA (Prompt de texto para conversar o resolver dudas).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/48_Sesion/1.%20TXT-048_Traductor%20de%20Prospectos%20de%20Vitaminas%2C%20Minerales%20y%20Suplementos.pdf
,Sesión 48,EST - 048 CINEMATOGRÁFICO NOIR ÉPICO Y GRANDES BATALLAS - Serie Carrusel (PDF),Paso 2: Estilos Visuales de Imagen (Aprender a pedir estilos artísticos y fotográficos).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/48_Sesion/2.%20EST-048_CINEMATOGR%C3%81FICO%20NOIR%20_%20%C3%89PICO%20Y%20GRANDES%20BATALLAS%20-%20Serie%20Carrusel_.pdf
,Sesión 48,PRAC - 048 Diseño de Caligrafía Artística y Letras Capitales Iluminadas (PDF),Paso 3: Taller Práctico con Gemini (Transformación y creatividad aplicada).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/48_Sesion/3.%20PRAC-048_Dise%C3%B1o%20de%20Caligraf%C3%ADa%20Art%C3%ADstica%20y%20Letras%20Capitales%20Iluminadas.pdf
,Sesión 48,FRAC - 042 Clifford Silky Smooth v1 (MP4),Paso 4: Vídeo Fractal del Día en Alta Resolución (Visualización y asombro en aula).,https://javiercursocorreo-gif.github.io/Curso-IA/CLASES/EXPORTACION_FICHAS_CLASSROOM_PDF/100.%20%5BSESSIONS%5D%20TERNAS_LISTAS_PARA_CLASSROOM/48_Sesion/4.%20FRAC-042%20Clifford_Silky_Smooth_v1.mp4
